,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
272,Cat,Unknown,-0.7203674483098509,Domestic Shorthair Mix,Black,0
273,Dog,Spayed Female,-0.055048952062390986,Anatol Shepherd Mix,Buff/Black,0
274,Cat,Intact Male,-0.6213562117333861,Domestic Shorthair Mix,Black,0
275,Other,Neutered Male,-0.4316617865167946,Californian Mix,White/Gray,0
276,Dog,Neutered Male,1.3866286795837042,Shih Tzu,Black/White,0
277,Dog,Neutered Male,0.9591222188516786,Golden Retriever Mix,Red,0
278,Dog,Intact Female,2.654342643226291,Pit Bull Mix,Gray,0
279,Cat,Intact Female,-0.64911637152118,Domestic Shorthair Mix,Cream Tabby/White,0
280,Dog,Neutered Male,0.9628235734900511,Italian Greyhound Mix,Tan/White,0
281,Dog,Spayed Female,-0.05412361340279786,Chihuahua Shorthair Mix,Black/Brown,0
282,Cat,Intact Female,-0.7277701575865959,Domestic Shorthair Mix,White/Black,0
283,Dog,Intact Male,0.7518463591028177,Boxer Mix,Red/White,0
284,Dog,Neutered Male,-0.051347597424018475,Dachshund Mix,Red/White,0
285,Dog,Spayed Female,-0.5066142179438381,Yorkshire Terrier Mix,Brown,0
286,Dog,Neutered Male,1.6318434243758835,Chihuahua Shorthair Mix,Brown/White,0
287,Dog,Spayed Female,-0.6158041797758274,Chihuahua Shorthair Mix,Cream,0
288,Dog,Neutered Male,4.6734315984584995,Dachshund Mix,Black/Gray,0
289,Cat,Intact Male,1.9695920351273757,Domestic Shorthair Mix,Black,0
290,Dog,Intact Male,-0.5038382019650587,Bernese Mountain Dog Mix,Tricolor,0
291,Dog,Neutered Male,-0.04024353350890092,West Highland,Cream,0
292,Cat,Neutered Male,-0.6648471287342631,Domestic Shorthair Mix,White/Brown Tabby,0
293,Dog,Intact Female,-0.05689962938157725,German Shepherd Mix,Brown/Black,0
294,Cat,Intact Female,-0.7203674483098509,Domestic Shorthair,Black,0
295,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Brown Tabby,0
296,Dog,Neutered Male,-0.026363453615003984,Chihuahua Shorthair Mix,Cream,0
297,Cat,Intact Male,-0.7009353364583952,Domestic Shorthair Mix,Brown Tabby,1
298,Dog,Spayed Female,-0.5186436205185487,Labrador Retriever Mix,White,0
299,Cat,Intact Female,-0.713890077692699,Domestic Shorthair,Brown Tabby,0
300,Cat,Intact Female,-0.6796525472877533,Domestic Shorthair Mix,Brown Tabby/White,0
301,Cat,Spayed Female,-0.671324499351415,Domestic Medium Hair,Black,0
302,Cat,Neutered Male,-0.6324602756485036,Domestic Shorthair Mix,Black,0
303,Cat,Intact Female,-0.7203674483098509,Domestic Shorthair,Brown Tabby,0
304,Cat,Intact Male,-0.6694738220322288,Domestic Medium Hair Mix,Blue,0
305,Dog,Neutered Male,-0.4233337385804564,Dachshund,Black/White,0
306,Cat,Neutered Male,-0.6148788411162341,Domestic Shorthair,Black,0
307,Other,Unknown,-0.3964989174522557,Bat Mix,Brown,1
308,Dog,Neutered Male,5.011180209209991,Miniature Poodle Mix,Black,0
309,Cat,Intact Female,-0.6213562117333861,Domestic Shorthair Mix,Gray Tabby,0
310,Dog,Spayed Female,-0.6574444194575181,Border Collie Mix,Black/White,0
311,Cat,Unknown,-0.7323968508845616,Domestic Shorthair Mix,Blue,0
312,Other,Intact Female,-0.3964989174522557,Raccoon Mix,Gray/Black,1
313,Dog,Neutered Male,2.000128210893949,Rottweiler,Black/Brown,0
314,Cat,Intact Male,-0.700009997798802,Domestic Longhair Mix,Brown Tabby/White,1
315,Dog,Spayed Female,-0.3909468854946969,Basset Hound Mix,White/Tan,0
316,Dog,Intact Female,-0.6815032246069395,Yorkshire Terrier Mix,Black/White,0
317,Dog,Neutered Male,-0.3761414669412068,Labrador Retriever Mix,Yellow,0
318,Dog,Spayed Female,0.9665249281284236,Mastiff Mix,Brown Brindle,0
319,Dog,Intact Female,-0.6620711127554838,Labrador Retriever Mix,Tan,0
320,Cat,Spayed Female,-0.6176548570950136,Domestic Shorthair Mix,Calico,0
321,Dog,Neutered Male,1.2903934589860189,Pit Bull Mix,White/Brown,0
322,Cat,Neutered Male,-0.5621345375194258,Domestic Shorthair Mix,Black/White,0
323,Dog,Spayed Female,1.306124216199102,Australian Cattle Dog Mix,White/Black,0
324,Dog,Neutered Male,-0.4483178823894709,Labrador Retriever/Pointer,White/Brown,0
325,Dog,Neutered Male,-0.66392179007467,Flat Coat Retriever Mix,Black/White,0
326,Dog,Neutered Male,2.001053549553542,Pit Bull Mix,Fawn/White,0
327,Cat,Spayed Female,-0.6722498380110082,Domestic Shorthair Mix,Black/White,0
328,Dog,Intact Male,2.649715949928326,Miniature Schnauzer,Black,1
329,Cat,Spayed Female,-0.37706680560079997,Domestic Shorthair Mix,Torbie,0
330,Cat,Intact Male,-0.7277701575865959,Domestic Shorthair,Buff,0
331,Cat,Neutered Male,1.9705173737869688,Domestic Shorthair Mix,Black/White,0
332,Dog,Spayed Female,-0.3909468854946969,Australian Shepherd/Plott Hound,Brown Brindle,0
333,Cat,Intact Male,-0.620430873073793,Domestic Shorthair Mix,Orange Tabby,0
334,Dog,Spayed Female,-0.66392179007467,Queensland Heeler,Black/White,0
335,Dog,Neutered Male,1.298721506922357,Bullmastiff,Brown/Black,0
336,Cat,Intact Male,-0.6500417101807731,Domestic Shorthair Mix,Black,0
337,Dog,Neutered Male,1.306124216199102,German Shepherd Mix,Red,0
338,Dog,Neutered Male,2.9902405766585973,Labrador Retriever/Chow Chow,Brown,0
339,Dog,Neutered Male,-0.6176548570950136,Labrador Retriever Mix,White/Brown,0
340,Dog,Neutered Male,-0.3409785978766679,Pit Bull Mix,Blue/White,0
341,Cat,Unknown,-0.7305461735653753,Domestic Shorthair Mix,White/Blue,0
342,Dog,Spayed Female,-0.16238823657519397,Mastiff Mix,Black Brindle,1
343,Cat,Intact Female,-0.7203674483098509,Domestic Shorthair,Torbie,0
344,Dog,Intact Female,-0.38261883755835874,Plott Hound Mix,Brown Brindle,0
345,Dog,Neutered Male,0.6417310586112354,German Shepherd Mix,Brown/Black,0
346,Dog,Spayed Female,0.625074962738559,Pit Bull Mix,Tan/White,0
347,Cat,Spayed Female,0.6287763173769315,Domestic Shorthair Mix,Tortie/Blue Cream,0
348,Dog,Neutered Male,-0.05319827474320473,Chihuahua Shorthair Mix,White/Tan,0
349,Dog,Neutered Male,-0.36966409632405495,Pit Bull Mix,Blue/White,0
350,Dog,Neutered Male,-0.05319827474320473,Chihuahua Shorthair/Dachshund,Tan/White,0
351,Dog,Neutered Male,2.670998739098968,Beagle Mix,Tan/White,1
352,Cat,Spayed Female,-0.6093268091586754,Domestic Shorthair Mix,Brown Tabby,0
